Attack,Layer,K,Metric,Raw_AUC,Corrected_AUC,Direction
ftrojan,layer4,50,manhattan,0.9997,0.9997,Outward
ftrojan,layer4,1,euclidean,0.9988,0.9988,Outward
ftrojan,layer4,3,euclidean,0.9988,0.9988,Outward
ftrojan,layer4,5,euclidean,0.9988,0.9988,Outward
ftrojan,layer4,10,euclidean,0.9988,0.9988,Outward
ftrojan,layer4,20,euclidean,0.9988,0.9988,Outward
ftrojan,layer4,50,euclidean,0.9987,0.9987,Outward
inputaware,layer1,1,manhattan,0.0231,0.9769,Inward
inputaware,layer1,3,manhattan,0.2733,0.7267,Inward
inputaware,layer1,5,manhattan,0.4559,0.5441,Inward
inputaware,layer1,10,manhattan,0.6092,0.6092,Outward
inputaware,layer1,20,manhattan,0.6756,0.6756,Outward
inputaware,layer1,50,manhattan,0.7015,0.7015,Outward
inputaware,layer1,1,euclidean,0.0498,0.9502,Inward
inputaware,layer1,3,euclidean,0.3400,0.6600,Inward
inputaware,layer1,5,euclidean,0.5018,0.5018,Outward
inputaware,layer1,10,euclidean,0.6280,0.6280,Outward
inputaware,layer1,20,euclidean,0.6809,0.6809,Outward
inputaware,layer1,50,euclidean,0.7007,0.7007,Outward
inputaware,layer2,1,manhattan,0.0084,0.9916,Inward
inputaware,layer2,3,manhattan,0.0855,0.9145,Inward
inputaware,layer2,5,manhattan,0.2162,0.7838,Inward
inputaware,layer2,10,manhattan,0.4038,0.5962,Inward
inputaware,layer2,20,manhattan,0.5180,0.5180,Outward
inputaware,layer2,50,manhattan,0.5801,0.5801,Outward
inputaware,layer2,1,euclidean,0.0432,0.9568,Inward
inputaware,layer2,3,euclidean,0.2422,0.7578,Inward
inputaware,layer2,5,euclidean,0.4005,0.5995,Inward
inputaware,layer2,10,euclidean,0.5533,0.5533,Outward
inputaware,layer2,20,euclidean,0.6299,0.6299,Outward
inputaware,layer2,50,euclidean,0.6659,0.6659,Outward
inputaware,layer3,1,manhattan,0.5227,0.5227,Outward
inputaware,layer3,3,manhattan,0.7414,0.7414,Outward
inputaware,layer3,5,manhattan,0.7878,0.7878,Outward
inputaware,layer3,10,manhattan,0.8203,0.8203,Outward
inputaware,layer3,20,manhattan,0.8348,0.8348,Outward
inputaware,layer3,50,manhattan,0.8432,0.8432,Outward
inputaware,layer3,1,euclidean,0.8394,0.8394,Outward
inputaware,layer3,3,euclidean,0.9477,0.9477,Outward
inputaware,layer3,5,euclidean,0.9627,0.9627,Outward
inputaware,layer3,10,euclidean,0.9715,0.9715,Outward
inputaware,layer3,20,euclidean,0.9746,0.9746,Outward
inputaware,layer3,50,euclidean,0.9754,0.9754,Outward
inputaware,layer4,1,manhattan,0.9815,0.9815,Outward
inputaware,layer4,3,manhattan,0.9912,0.9912,Outward
inputaware,layer4,5,manhattan,0.9929,0.9929,Outward
inputaware,layer4,10,manhattan,0.9940,0.9940,Outward
inputaware,layer4,20,manhattan,0.9942,0.9942,Outward
inputaware,layer4,50,manhattan,0.9936,0.9936,Outward
inputaware,layer4,1,euclidean,0.9965,0.9965,Outward
inputaware,layer4,3,euclidean,0.9987,0.9987,Outward
inputaware,layer4,5,euclidean,0.9989,0.9989,Outward
